Word,Frequency
across,1412
varies,7
significantly,417
singapore,167
ranks,67
leaders,558
cambodia,52
laos,35
myanmar,25
remain,362
early,521
stages,109
building,1402
persistent,35
shortages,38
computing,1476
stable,306
network,681
coverage,111
multispeed,1
pattern,92
results,336
uneven,23
capacity,726
within,679
making,872
form,309
unified,156
concepts,96
weakening,28
widening,46
divide,196
lacks,43
sufficient,81
collective,198
mechanisms,391
counter,70
associated,103
generative,627
deepfakes,36
bias,72
largescale,347
breaches,24
especially,684
involving,154
highrisk,33
necessary,307
resilience,286
capacitybuilding,95
further,48
complicating,7
standardssetting,2
rulemaking,34
caught,43
regulationfirst,1
model,1425
europe,422
states,1283
geopoliticsdriven,1
framework,651
suits,16
faced,145
exploring,182
distinct,57
western,509
approaches,158
innovative,857
combines,54
systematic,100
strengths,239
approach,749
flexibility,72
terms,511
sides,415
share,609
alignment,101
emphasizes,128
good,754
tech,1179
participation,333
setting,206
documents,122
emphasize,75
inclusive,609
first,2327
multistakeholder,32
involvement,49
degree,107
putting,84
open,962
orientation,28
enables,127
ground,170
complementarity,26
increasingly,577
evident,80
institutional,338
accumulated,52
mature,89
set,944
areas,1347
algorithm,136
filing,29
platform,1303
well,1458
consultative,96
gradual,35
flexible,155
soft,63
facilitating,157
rule,273
coordination,319
systemic,101
synergy,111
level,701
chinaasean,113
upgrade,243
protocol,24
prioritizes,51
economy,3132
opening,504
flows,113
crossborder,437
yielded,20
substantial,177
deeply,228
rooted,96
industry,3387
ecosystems,146
companies,3070
huawei,615
cloudcomputing,6
centers,583
enabling,273
smartcity,11
asia,644
alibaba,294
damo,11
academy,619
program,486
cuttingedge,515
working,614
language,742
including,2380
adapted,43
minority,34
languages,128
enterprises,1922
helping,384
independent,216
controllable,48
opensource,226
localized,65
cobuilding,4
affordable,82
usable,7
lowers,7
threshold,58
advanced,1061
helps,192
maintain,320
amid,440
unveiled,323
wellpositioned,21
advance,532
jointly,624
integration,948
deliver,170
dividends,56
replicable,19
scalable,24
interconnectivity,26
line,335
cpc,396
committees,59
types,147
built,384
appropriate,63
forward,572
planning,323
silk,171
road,734
supporting,349
establishment,322
dispatch,10
networks,338
interconnected,76
ease,79
bottlenecks,74
highcost,3
hardtoaccess,1
resources,1058
facing,251
smes,54
startups,335
laying,80
physical,208
part,759
sovereign,67
clouds,31
greencomputing,1
pilot,296
zones,146
enhance,872
sustainability,266
second,783
hub,419
address,675
digitalskills,1
gap,264
dedicated,194
funds,193
existing,304
platforms,808
luban,21
workshops,53
transfer,188
center,1400
skills,377
enhancement,45
youth,225
practical,361
annotation,16
operations,467
maintenance,83
cybersecurity,446
transform,197
demographic,70
third,571
possibility,60
establishing,311
regularized,1
creating,531
group,1113
transparency,151
labeling,26
testing,246
fourth,289
deepen,331
beautiful,93
livelihood,67
agriculture,276
healthcare,879
disaster,89
mitigation,37
sectors,1215
tied,18
accelerated,220
for,1152
example,791
used,881
monitoring,321
pests,4
diseases,158
affecting,43
tropical,12
crops,32
intelligent,1561
meteorological,74
applied,273
strengthen,825
earlywarning,10
typhoons,5
floods,14
vividly,22
illustrate,17
by,758
contribute,375
balances,23
integrating,303
offering,304
wisdom,147
zheng,163
xianwu,1
professor,451
associate,109
dean,128
institute,856
relations,640
nanjing,118
university,1627
wang,825
yichen,3
doctoral,36
candidate,28
authors,52
contributed,145
article,157
watch,66
think,523
tank,146
powered,123
daily,1047
enters,21
period,465
turbulence,49
principle,264
mounting,55
eight,184
decades,324
pivotal,166
moment,150
president,1241
worlds,938
five,636
staying,26
equality,134
peoplecentered,99
deep,436
insight,31
problemsolving,34
systemsoriented,1
perspective,219
root,56
causes,34
immediate,83
comprehensive,730
wellstructured,3
coherent,23
charter,67
inherits,2
diplomatic,180
traditions,45
outlines,37
methods,202
pathways,69
reforming,43
injecting,65
fresh,172
intellectual,360
momentum,392
cause,119
equitable,182
system,2602
proposer,1
active,198
participant,49
sense,203
transforming,192
maps,28
plans,626
turning,138
aspirational,3
concrete,124
achievements,456
steadfast,30
uncentered,15
maintained,72
organization,483
secondlargest,134
uns,54
regular,97
peacekeeping,61
budgets,15
leads,119
implementation,387
agenda,274
participates,15
rights,892
council,437
launch,394
decade,293
ago,258
chinaun,4
fund,297
supported,264
projects,925
expand,597
engagement,181
nearly,500
universal,150
intergovernmental,38
organizations,592
conventions,15
concluded,109
bilateral,316
formulation,72
compact,37
recommendation,26
adhering,36
mutual,543
respect,301
worldwide,432
member,507
stood,64
solidarity,104
enhancing,470
souths,23
influence,299
voice,301
representation,75
balanced,137
effective,482
structure,200
recent,903
years,2788
engaging,95
internetbased,33
poverty,274
alleviation,60
providing,462
financing,208
support,2072
african,287
through,264
africachina,4
programs,416
internet,1587
literacy,116
local,1559
communities,235
helped,243
brics,816
promoted,178
highquality,1108
bricscooperation,1
developed,978
shanghai,1482
largest,645
population,405
territory,46
amplifies,8
along,342
contributions,198
bank,394
institution,77
founded,134
sco,292
tianjin,357
summit,794
bolster,210
construction,744
socioeconomic,80
explicitly,28
unions,38
entry,102
g,1094
launched,741
partnership,387
take,851
africa,486
latin,102
american,269
caribbean,28
frameworks,308
arab,154
six,312
pacific,106
island,84
taking,389
strongest,17
records,77
proactive,143
blue,60
helmets,5
pillar,71
bringing,183
hope,287
conflictaffected,1
explored,62
unique,302
resolving,48
objectivity,4
fairness,142
settlement,94
ukraine,110
crisis,324
israelpalestine,9
conflict,202
facilitated,67
reconciliation,9
saudi,110
arabia,76
iran,39
played,180
thailand,178
peacefully,13
resolve,114
border,97
dispute,69
expanded,230
highlevel,343
openingup,435
hosting,77
import,125
expo,387
highstandard,104
implementing,174
standard,159
dual,92
carbon,417
peaking,41
dioxide,41
emissions,230
neutrality,110
paris,153
agreement,391
kunmingmontreal,9
biodiversity,167
kunming,31
worked,131
establish,503
mediation,20
mechanism,368
disputes,130
taken,349
lead,545
proposing,44
ensure,802
develops,48
way,777
plenary,148
session,375
charting,14
blueprint,103
next,858
promising,134
rest,166
communiqué,8
stressed,261
horizons,15
mutually,135
secure,254
resonating,4
injects,6
fosters,48
fairer,49
both,120
priority,208
while,643
washington,237
accelerate,577
adoption,349
us,4753
beijing,1806
identified,86
component,55
strategy,657
goal,398
emphasized,466
upcoming,93
competing,65
headtohead,2
leadership,449
critical,672
aienabled,90
biotechnology,71
materials,340
robotics,570
frontier,183
natural,290
healthy,244
drives,53
efficiency,883
preclude,2
guardrails,21
intended,58
dangerous,61
spillover,20
effects,116
limited,227
deliberate,21
superpowers,11
reason,87
straightforward,12
failures,27
stay,151
borders,94
others,409
an,238
unsafe,6
autonomous,691
vehicle,288
domestic,1016
problem,182
selfdriving,100
car,159
malfunctions,4
shenzhen,421
san,95
francisco,70
damage,69
each,63
handle,92
goes,83
algorithms,376
categories,78
negative,157
externalities,2
cross,23
makes,221
easy,106
design,473
biological,72
chemical,92
weapon,35
automate,18
cyberattacks,39
doesnt,79
endanger,8
endangers,3
everyone,156
globe,97
consumer,557
neither,56
side,267
mistake,22
handling,60
misuse,83
failure,71
invite,34
backlash,8
pressure,192
sweeping,52
restrictions,328
potentially,126
duplicative,1
requirements,201
slow,85
thats,186
cooperate,117
maybe,24
detection,123
evaluation,153
incident,18
understanding,426
repurposed,6
harmful,33
fail,54
ways,265
cascade,3
experimentation,20
analysis,317
already,623
invest,269
kind,179
domestically,83
sharing,389
redundancy,7
improve,1073
clarify,32
require,183
containment,48
mean,112
harmonized,8
continue,862
different,754
based,874
institutions,881
behave,5
stresstested,1
incidents,26
analyzed,33
duplicated,2
isolation,39
baselines,2
make,1311
everyones,12
unnecessary,19
fragmentation,65
there,422
during,424
cold,132
former,344
soviet,24
union,230
scientists,246
engaged,162
labtolab,1
reactor,13
remained,76
rivals,40
found,236
accidents,36
affect,86
preventing,86
interest,308
applies,26
capable,165
widely,226
available,223
ensuring,465
becomes,171
matter,139
preference,24
tracking,49
vulnerability,24
reporting,59
violates,17
expectations,170
producing,79
malicious,44
code,150
events,243
documented,9
communicated,3
channels,132
compare,10
modes,34
benchmark,67
identify,170
needed,371
step,385
redteam,3
exercises,13
controlled,53
tests,84
deliberately,31
probe,23
potential,1274
conducted,148
academic,378
strict,86
property,382
protections,34
extend,90
techniques,83
modified,14
bypass,5
safeguards,54
leaks,19
evaluate,51
environments,104
none,25
trust,328
competence,30
mistakenly,3
assume,27
converge,20
suggests,71
otherwise,45
moral,57
genetically,5
gene,29
editing,28
stemcell,1
never,190
single,178
treaty,35
governing,118
adopted,304
realism,7
compete,97
deployment,194
undermine,77
confidence,398
predictable,44
treated,31
much,485
like,1689
pandemic,531
surveillance,71
simply,118
production,1203
higher,619
moving,155
quickly,210
keep,271
on,669
friday,283
business,1967
economics,194
uibe,2
school,554
upgrading,361
longestablished,3
management,1042
priorities,192
zhao,169
zhongxiu,2
called,635
realignment,4
reflects,216
demand,924
interdisciplinary,99
centered,76
engine,210
aidata,1
integrate,266
uibes,1
humanities,55
sciences,394
globally,422
minded,2
innovationoriented,8
computational,77
universities,566
departments,257
noted,579
longer,241
idea,129
fueled,79
booming,66
market,3122
now,1330
powering,24
growth,3133
sector,1468
surpassed,92
billion,1939
yuan,1464
percent,3906
yearonyear,440
outpaces,1
gdp,415
highlighting,172
driver,206
shape,189
toptier,44
unicorn,68
end,575
airelated,154
operated,39
nationwide,208
diverse,287
mix,39
giants,173
unicorns,57
mediumsized,134
innovators,88
investment,1946
totaled,25
underscoring,56
capital,1048
seeing,102
indepth,158
tangible,124
steadily,115
penetrating,7
various,928
show,294
highest,140
rates,154
quantitative,36
roboadvisers,1
nonperforming,4
loans,62
percentage,106
points,231
boosted,82
claim,48
manufacturing,1611
robots,805
predictive,46
significant,961
productivity,416
aiassisted,52
diagnostics,41
telemedicine,36
mitigate,88
care,380
finally,61
pool,119
holding,126
doctorates,2
credentials,15
accounting,254
sign,84
expertise,247
despite,483
encouraging,176
several,452
strides,90
heavily,83
imported,60
highend,256
chips,658
foundational,94
versions,27
behind,352
top,878
players,204
roughly,65
generations,95
density,33
energy,1879
deeplearning,11
foreign,1348
tensorflow,5
pytorch,3
dominate,37
leaving,58
alternatives,40
far,348
maturity,39
developer,67
industrialscale,2
industries,1897
service,1045
penetration,85
reached,446
digitalsavvy,2
finance,544
levels,330
stands,172
fewer,48
implemented,218
compared,286
large,1216
barriers,218
lack,233
teams,174
poor,90
adaptation,45
specific,324
scenarios,525
result,305
low,206
returns,62
imbalanced,6
shortage,100
experts,1058
professionals,230
supplydemand,11
ratio,51
architects,10
accounts,125
highly,294
cited,68
senior,475
talents,255
largemodel,13
chip,443
shortfall,12
understand,264
fundamentals,37
operational,214
students,915
enrolled,11
underutilized,4
silos,13
amounts,89
datasets,52
sit,25
idle,3
due,454
formats,32
european,473
achieved,295
average,286
utilization,117
rate,574
standardized,57
transport,167
risen,36
singapores,26
canadas,3
hindering,25
supplies,63
hinges,17
four,446
rd,443
tackle,153
means,439
multinational,140
groups,267
launching,85
focused,284
compatibility,14
harmonize,10
standardization,57
electrotechnical,2
commission,419
fragmented,58
demonstration,164
realworld,129
advisable,5
develop,829
aismart,1
parks,110
narrow,78
collaborate,154
laboratories,62
scholarship,12
scholar,24
exchanges,640
overseas,511
recognition,379
assessment,113
encourage,262
bodies,97
established,656
consensus,358
ethical,390
collaborative,258
codevelop,12
extensive,213
consultation,163
yang,255
zekun,1
fellow,177
renmin,64
yiyong,1
macroeconomic,68
cities,772
grappling,19
challenge,349
enhances,64
amplifying,11
inequalities,36
from,373
act,278
interim,29
accountability,75
dubais,14
toolkit,11
focuses,179
embedding,28
demonstrate,92
serve,422
dubai,102
scale,548
agile,56
citizenfocused,1
deployments,13
point,303
locally,39
humancentered,33
takes,170
opposite,18
our,240
journey,175
begins,21
inclusion,70
builds,35
directly,164
legislation,139
voluntary,32
commitments,86
signed,267
firms,439
contribution,169
lies,219
operationalizing,1
city,1302
showing,110
translate,59
everyday,61
citizen,42
experiences,275
licensing,36
last,1276
month,343
resident,53
got,61
drivers,311
licence,3
renewed,39
without,513
filling,18
waiting,34
remembering,6
expiry,1
date,111
citys,334
aipowered,335
assistant,136
detected,23
renewal,53
processed,25
application,1482
confirmation,13
sake,19
anticipates,15
quietly,24
handles,15
lifes,4
administrative,289
tasks,295
functions,148
originally,32
designed,275
state,707
report,1324
highlights,170
cases,362
mobility,127
projected,92
impact,566
lives,294
detect,91
breast,18
cancer,177
diabetes,21
earlier,285
hospital,245
auditing,12
aidriven,200
smart,1670
grids,43
managing,208
efficiently,82
reducing,236
environmental,457
and,637
piloted,16
automatically,71
schedule,37
appointments,17
process,776
renewals,2
anticipatory,3
reactive,14
mirror,17
wider,148
movement,63
europes,53
legislative,91
uss,9
creates,102
debate,71
filled,33
toolkits,4
developers,172
entities,158
project,595
undergo,21
review,138
procurement,67
safe,260
sandboxes,6
test,181
conditions,366
board,182
provides,384
oversight,116
allows,160
divides,48
employees,237
whose,142
roles,116
automated,112
left,155
reskilled,2
positions,123
internationally,85
virtual,344
coled,2
telecommunication,41
centre,87
ensures,66
inclusivity,60
embedded,61
citiverse,1
cocreating,7
showcased,112
gitex,8
biggest,183
startup,256
demonstrated,144
innovations,382
agentic,8
codai,1
elevate,44
realtime,226
insights,201
performance,331
exemplify,16
accessibility,58
holistic,58
ultimate,56
measure,89
better,1026
life,802
person,88
strengthens,39
equity,141
preventive,19
empowerment,96
steps,169
aug,76
structuring,2
index,261
filed,38
patents,116
threequarters,9
citations,10
demonstrates,114
implement,234
ministry,711
cohesive,13
benchmarks,32
longterm,568
compliance,136
introduced,355
foster,413
highlighted,429
cooperative,186
aligns,104
emphasis,236
stewardship,9
we,2088
envision,19
emirati,7
codeveloping,6
synthetic,29
preserve,58
representative,155
such,284
responsible,274
promise,58
importance,578
underscores,92
contributes,66
learning,705
bridges,65
enriches,7
geographies,4
cultures,91
will,35
dictate,8
conscience,5
enrich,56
unmistakably,1
internationalization,33
reshapes,13
officials,486
executives,192
saturday,150
profoundly,71
fu,101
baozong,1
deputy,520
director,877
reform,724
august,156
issued,374
guideline,205
deepening,262
plus,288
liu,461
quan,10
chief,434
engineer,91
forum,1095
parallel,77
gai,4
conference,1215
held,823
number,934
hightech,534
may,1141
destination,94
going,275
abroad,218
zhou,286
rui,19
general,620
manager,221
zhongguancun,75
zgc,9
regions,777
digitaleconomy,1
vast,273
digitalinfrastructure,1
upgrades,142
digitization,61
datuk,2
mahadhir,1
aziz,4
johor,6
enter,98
wide,213
range,315
chatbot,118
publicfacing,3
clearly,117
added,1270
officially,124
customized,77
lu,130
jiang,101
gaps,125
hurdles,36
venturing,11
target,202
customers,239
endtoend,33
keeping,83
steady,135
li,767
yan,76
secretary,329
chairman,527
teeters,2
edge,186
recovery,279
aggravating,3
inflationary,8
lingering,15
debt,114
burdens,32
eyes,54
johannesburg,24
late,214
november,178
host,164
gathering,76
carries,32
weight,37
usual,16
ever,157
convened,38
geographical,44
milestone,114
shaping,181
context,158
caused,140
protectionism,165
gs,13
ability,321
unite,37
economies,580
influential,69
aside,32
differences,180
urgency,58
underscored,118
stems,20
unilateral,81
april,303
rolled,104
socalled,92
liberation,13
day,454
tariffs,287
applying,109
tariff,199
almost,212
imports,136
reciprocal,24
partners,434
farreaching,37
yale,11
universitys,127
budget,78
lab,113
reported,255
americas,42
surged,111
seen,459
great,646
depression,18
move,460
framed,9
backfired,1
spectacularly,2
inflation,71
easing,39
spiked,6
cpi,7
largely,97
prices,135
electronics,186
clothing,61
automotive,150
parts,159
consequences,98
rippled,3
wto,146
warned,128
lowtariff,1
scenario,77
ordinary,44
households,56
extra,24
annual,579
expenses,24
shoe,3
dependent,36
jump,27
october,212
ben,12
bernankeformer,1
chair,90
fed,25
jannet,1
yellen,14
treasury,69
submitted,68
opinion,81
supreme,26
court,104
overturn,2
trumps,90
claiming,32
misunderstanding,8
not,69
hurt,27
exacerbated,16
communitys,23
recession,31
imf,51
expected,877
decline,124
historical,216
june,291
moodys,13
investors,374
downgraded,4
credit,126
rating,39
aaa,5
aa,2
hundred,14
fiscal,189
deficits,28
polarization,21
protectionist,49
reasons,93
downgrade,4
undermines,18
credibility,34
why,31
premier,122
coordinate,86
crucial,534
look,303
born,77
wake,26
ministers,72
recognized,167
alone,190
banks,165
collapsed,7
shrank,3
realized,97
stabilize,81
gathered,91
london,111
reeling,3
started,203
previous,232
rare,131
unity,75
coordinated,197
package,57
worth,154
trillion,576
aimed,269
boosting,259
imfs,7
lending,17
stimulus,58
powerful,237
signal,70
calm,10
panicked,1
groundwork,39
indicators,75
output,240
began,174
upward,36
observers,57
later,205
argued,37
swift,42
instrumental,23
averting,2
proving,21
faltering,4
evolved,86
words,115
structured,32
hangzhou,211
according,2132
oecdundp,1
served,79
dimensions,58
sought,39
fostering,395
green,1137
transitions,39
more,375
recently,459
continued,261
prove,51
vaccines,79
provided,475
relief,51
poorest,12
elevated,32
climate,798
item,16
agreeing,12
phase,236
coal,80
mobilize,31
annually,101
moments,19
sizes,19
wealth,111
solve,161
big,1151
conclude,23
strength,282
diversity,145
club,22
rich,153
decisions,195
futures,29
equal,199
footing,25
respond,122
crises,72
how,146
sustained,136
reignite,3
reaffirm,36
reject,25
recognised,1
chain,657
disruptions,69
solved,37
acting,36
send,60
unacceptable,14
includes,209
benefit,516
taught,18
uncoordinated,3
monetary,154
chaos,24
fiasco,1
reinforces,12
revive,30
spirit,180
summits,31
pushing,114
aligned,74
triggering,16
faster,215
responses,85
emerge,98
prioritize,97
voices,84
marginalized,28
elevating,31
middleincome,42
ifa,1
negotiations,86
climatefinance,1
fulfill,65
cycle,106
give,255
attention,328
integral,45
peripheral,5
chance,60
rebuild,10
meant,39
talking,53
shop,40
created,372
opportunity,398
privileged,11
choice,112
slower,23
inequality,60
deeper,211
embrace,169
unlock,79
shall,31
refining,31
propelling,36
advancement,305
watching,24
precise,108
red,104
lines,170
guidelines,161
manner,156
remarks,227
subforum,31
lawbased,80
wuzhen,137
zhejiang,358
sunday,180
viceminister,80
mingzheng,3
described,114
round,177
brings,133
deviate,5
direction,233
civilizational,27
adding,592
continuous,197
breakthroughs,507
proactively,57
guard,47
he,1433
grasp,32
trends,226
patterns,111
precisely,48
play,565
academia,109
jianwen,3
administration,682
revolutionary,44
cautioned,31
emerged,200
extending,56
improvement,182
refinement,13
urged,175
enforcement,121
illegal,100
abusive,5
suited,24
fully,431
leveraging,326
selfdiscipline,9
official,364
encourages,82
manages,22
zhu,236
yapin,1
